Product_name,Product_Link,Rating,Price
"Acer Extensa 15 Thin & Light Intel Processor Pentium Silver N5030 15.6 inches Business Laptop (4GB RAM/1TB HDD/Windows 11 Home/Integrated Graphic Card/Black/1.9 Kg, EX215-31)",/Acer-Processor-Business-Integrated-EX215-31/dp/B09MJ52H9S,4.6 out of 5 stars,"30,124"
"ASUS VivoBook 14 Intel Core i3-10110U 10th Gen 14-inch FHD IPS Compact and Light Laptop (8GB RAM/1TB HDD/Windows 10/1 Yr. McAfee/Integrated UHD Graphics/Slate Grey/1.60 kg), X409FA-EB616T",/ASUS-VivoBook-i3-10110U-Integrated-X409FA-EB616T/dp/B09GPB1ZS8,4.5 out of 5 stars,"36,915"
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6 FHD Thin and Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H801L3IN",/Lenovo-IdeaPad-Windows-Warranty-82H801L3IN/dp/B09MKMGWH4,4.1 out of 5 stars,"39,990"
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB018EIN",/Lenovo-IdeaPad-Graphics-Platinum-81WB018EIN/dp/B09M41LYSC,4.3 out of 5 stars,"37,990"
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN",/Lenovo-Ideapad-Keyboard-Warranty-82KU017KIN/dp/B09MM58Y7Q,4.3 out of 5 stars,"49,900"
"(Renewed) Lenovo Thinkpad L450 14 inch Laptop (Core I3 5th Gen/4GB/128 GB SSD/Windows 10 Pro/MS Office/Anti Glare Display/Webcam/Bluetooth/Wifi/Integrated Graphics), Black",/Lenovo-Thinkpad-Bluetooth-Integrated-Graphics/dp/B09HV5QSYP,,"21,990"
HP 240 G8 (53L43PA) Laptop (Intel Core I3/ 10th Gen/ 8GB RAM/ 512GB SSD/ Windows 10 Home/ 14 Inch/ 1 Year Warranty) Black,/HP-53L43PA-Laptop-Windows-Warranty/dp/B09JP3ZNTB,5.0 out of 5 stars,"40,909"
"HP Chromebook x360 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (AMD 3015CE/4GB/64GB eMMC Storage/Chrome OS/Ceramic White/1.49 kg), 14a-cb0006AU",/HP-Chromebook-14-inch-Touchscreen-14a-cb0006AU/dp/B09CMNZ4T1,4.1 out of 5 stars,"30,490"
"Lenovo V15 Intel Core i5 11th Gen 15.6"" (39.62 cm) FHD Thin and Light Laptop (8GB RAM/256GB SSD/Windows 10/MS Office/Black/1.7 kg), 82KB00EYIN",/Lenovo-V15-Laptop-Windows-82KB00EYIN/dp/B09BVVJP7Z,4.2 out of 5 stars,"50,990"
"Dell 14 (2021) Ryzen 5-3450U Laptop 8GB, 256GB SSD, Win 10 + MS Office, Vega Graphics, 14.0"" (35.56 cms) FHD Display/ Dune Color (Vostro 3405, D552202WIN9D)",/Dell-Graphics-Vostro-3405-D552202WIN9D/dp/B09M49M84B,4.2 out of 5 stars,"40,990"
Dell New 2021 Inspiron 3511 NB || Intel Core i3-11th Gen || 8GB Ram || 1TB HDD+256GB SSD || Windows 11 Home+Office 2021 || Without Bag || FHD Display|Black Color || 1 Yr Warranty,/Dell-Inspiron-i3-11th-Windows-Warranty/dp/B09F5KMH9L,5.0 out of 5 stars,"46,800"
"ASUS VivoBook 15 - Intel Celeron N4020 Dual Core Processor (4GB RAM/256 GB SSD/Windows 10/Intel UHD 600 Graphics/15.6-inch HD LED/1.9 kg/Transparent Silver/1 Yr. Warranty), X543MA-GQ1358T",/ASUS-VivoBook-Processor-Transparent-X543MA-GQ1358T/dp/B09MNL2M6V,5.0 out of 5 stars,"28,490"
"Acer Aspire 3 15.6"" Full HD IPS Display Laptop | 11th Gen Intel Core i3-1115G4 Processor | 4GB RAM| 1TB HDD| Windows 10 Home | Pure Silver| 1.7 kg | HD Webcam | A315-58",/Acer-Display-i3-1115G4-Processor-Windows/dp/B099ZYQWXR,3.5 out of 5 stars,"41,399"
,,,
,,,
,,,
"HP Pavilion 15, Ryzen 5- 16GB/512GB SSD 15.6-inch Laptop, FHD Micro-Edge Anti-Glare Display/Radeon Graphics/Backlit KB/Alexa/B&O Audio/Fingerprint Reader/720p Camera/Win 11 Ready/1.75 kg, 15-eh1108AU",/HP-Pavilion-Micro-Edge-Fingerprint-15-eh1108AU/dp/B09HV3WT9J,4.4 out of 5 stars,"60,990"
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/UHD Graphics/Windows 11/MS Office 2021/Platinum Grey/1.7Kg), 81WB0193IN",/Lenovo-IdeaPad-Graphics-Platinum-81WB0193IN/dp/B09M3Y4ZV4,3.8 out of 5 stars,"37,990"
"Lenovo ThinkBook 15 Intel 11th Gen Core i5 15.6"" (39.62 cm) FHD IPS 300 nits Antiglare 100% sRGB Thin and Light Laptop (8GB/1TB HDD+128GB SSD/Windows 10/MS Office/Mineral Grey/1.7 Kg), 20VEA0HCIH",/Lenovo-ThinkBook-Antiglare-Windows-20VEA0HCIH/dp/B09G3CWM3J,4.3 out of 5 stars,"55,990"
"(Renewed) Hp ProBook 6th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) FHD Screen, Windows 11 (Upgraded), MS Office, Black, Slim",/Renewed-ProBook-Graphics-Windows-Upgraded/dp/B09NGV1MVJ,5.0 out of 5 stars,"34,999"
"ASUS VivoBook 14 (2021), Intel Core i3-1115G4 11th Gen, 14 Inches FHD Business Laptop (8GB RAM/256GB SSD/Office 2019/Windows 10 Home/Integrated UHD Graphics/Silver/1.6 kg), X415EA-EK342TS",/ASUS-VivoBook-i3-1115G4-Integrated-X415EA-EK342TS/dp/B09BF6S7RX,4.2 out of 5 stars,"39,990"
"Lenovo IdeaPad Slim 3 Intel Celeron N4020 14"" (35.36cm) HD Thin & Light Laptop (4GB/256GB SSD/Windows 10/Platinum Grey/1.5Kg), 81WH001NIN",/Lenovo-IdeaPad-Celeron-Platinum-81WH001NIN/dp/B09GTPQSHR,4.2 out of 5 stars,"31,990"
"Acer Extensa 15 Thin and Light Business Laptop AMD 3020e Dual-core Processor 15.6"" HD Display (4GB RAM/256 GB SSD/Windows 10 Home/Integrated Graphics/Black/1.9 Kg), EX215-22",/Acer-Dual-core-Processor-Integrated-EX215-22/dp/B09LLNYG6M,3.7 out of 5 stars,"31,990"
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 14"" FHD Thin and Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/Fingerprint Reader/2Yr Warranty/Abyss Blue/1.41Kg), 82KT00GLIN",/Lenovo-Keyboard-Fingerprint-Warranty-82KT00GLIN/dp/B09MKMXHV1,4.5 out of 5 stars,"54,999"
"Dell 15 (2021) Intel i3-1005G1 Laptop, 8GB, 1TB HDD, Windows 10 + MS Office, Integrated Graphics, 15.6 inches FHD Display, Carbon Color (Inspiron 3511, D560612WIN9BE), 1.8kg",/Dell-i3-1005G1-Integrated-3511-D560612WIN9BE/dp/B09F3PV9RL,3.8 out of 5 stars,"41,590"
Lenovo 82C700D4IH V15 ADA AMD Athlon Silver 3050U 15.6 inches HD AG Laptop (4GB RAM/1TB HDD/DOS/Integrated Radeon Graphics/Iron Grey/1.85kg),/Lenovo-82C700D4IH-Laptop-Integrated-Graphics/dp/B08DHT9JSK,3.1 out of 5 stars,"29,420"
"Coconics Enabler Laptop C1C11, Intel® Celeron® Processor N4000 (1.1 GHz ~ 2.60 GHz), 11.6 Inch FHD Display, 4GB RAM (LPDDR4), 128GB SSD Storage, 990gms Only with Coconics Bag (Ubuntu)",/Coconics-Enabler-Celeron%C2%AE-Processor-Display/dp/B09NMJXSKL,4.5 out of 5 stars,"18,463"
"Acer Extensa 15 Thin & Light Intel Processor Pentium Silver N5030 15.6 inches Business Laptop (4GB RAM/1TB HDD/Windows 10 Home/Integrated Graphic Card/Black/1.9 Kg, EX215-31)",/Acer-Processor-Business-Integrated-EX215-31/dp/B095BYNN8Z,3.5 out of 5 stars,"30,739"
"(Renewed) Lenovo Latitude Laptop X260 Intel Core i3 - 6100u Processor 6th Gen, 8 GB Ram & 128 GB SSD, 12.5 Inches (Ultra Slim & Feather Light 1.4KG) Notebook Computer",/Renewed-Lenovo-Latitude-Laptop-Intel/dp/B09MTDLNR9,3.5 out of 5 stars,"21,990"
"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 Ti GDDR6 4GB Graphics, Gaming Laptop (8GB RAM/512GB SSD/Windows 10/Fortress Gray/2.3 Kg), FX566LI-HN272T",/ASUS-15-6-inch-i5-10300H-Graphics-FX566LI-HN272T/dp/B098P62W63,4.4 out of 5 stars,"63,490"
"Dell 15 (2021) Intel i3-1115G4 Laptop, 8GB, 256GB SSD, Windows 10 + MS Office, Integrated Graphics, 15.6 inches FHD Display, Carbon Color (Inspiron 3511, D560581WIN9BE), 1.8kg",/Dell-i3-1115G4-Integrated-3511-D560581WIN9BE/dp/B09F3QP9JS,3.4 out of 5 stars,"41,990"
AVITA PURA E14 NS14A6ING431-SGC Thin and Light 14 inches Laptop AMD Radeon R4 (APU Dual Core A6/4GB/128GB SSD /Win 10 Home) 1.34 kg Shadow Grey,/AVITA-NS14A6ING431-SGC-inches-Laptop-Radeon/dp/B09LYKKDB9,3.0 out of 5 stars,"22,800"
,,,
,,,
,,,
HP Pavilion 14 11th Gen Intel Core i5 14 inches Thin & Light FHD Laptop ( 8GB RAM/512GB SSD/ Windows 11/ MS Office 2019/ 1.41kg/ Natural Silver) - 14-dv1000TU,/HP-Pavilion-inches-Windows-Natural/dp/B09KGQY5BS,5.0 out of 5 stars,"62,490"
"Dell 15 (2021) AMD Ryzen 5-3450U Laptop, 8GB DDR4, 256GB SSD, Windows 10 + MS Office, Vega Graphics, 15.6 inches FHD Display, Soft Mint (Inspiron 3505, D560616WIN9SE), 1.83kg",/Dell-Graphics-Inspiron-3505-D560616WIN9SE/dp/B09F3QCGFM,4.1 out of 5 stars,"44,990"
